number,value,datetime_start,datetime_complete,duration,params_cnn_out,params_dropout_a,params_dropout_b,params_fc_hidden,params_fluct_hidden,params_lr,params_lstm_hidden_a,params_n_filters1,params_n_filters2,params_n_layers,params_trend_hidden,params_weight_decay,user_attrs_best_epoch,user_attrs_n_params,user_attrs_time_s,state
82,405.3799336733381,2026-06-21 04:45:40.963696,2026-06-21 04:46:42.681895,0 days 00:01:01.718199,16,0.28293288335337785,0.3552263597723634,64,64,2.9630720469254906e-05,64,64,96,2,96,6.30637000585698e-05,13.0,270912.0,61.5,COMPLETE
83,393.0993234858081,2026-06-21 04:46:42.714152,2026-06-21 04:47:30.095873,0 days 00:00:47.381721,16,0.4739858406593425,0.40888213758863745,64,128,1.4835918391704483e-05,64,128,288,1,96,0.0003788247325339217,10.0,327232.0,47.1,COMPLETE
84,404.2576143376894,2026-06-21 04:47:30.133889,2026-06-21 04:48:06.569649,0 days 00:00:36.435760,14,0.4833045720631619,0.5097843980458936,96,128,3.856277046068809e-05,48,96,256,1,64,0.0002668850052395706,3.0,241378.0,36.2,COMPLETE
85,392.7746252623761,2026-06-21 04:48:06.600899,2026-06-21 04:50:47.088844,0 days 00:02:40.487945,14,0.39761975873456923,0.546026599515441,32,96,1.773123222991382e-05,48,192,96,1,192,0.000769934109016598,33.0,287778.0,160.2,COMPLETE
86,399.8626912766431,2026-06-21 04:50:47.123405,2026-06-21 04:52:16.586765,0 days 00:01:29.463360,16,0.3842598897845495,0.5715999764713215,32,96,7.694824240210221e-05,48,224,96,1,192,0.000715795429726414,9.0,297760.0,89.1,COMPLETE
87,405.22931393841685,2026-06-21 04:52:16.622355,2026-06-21 04:53:43.168223,0 days 00:01:26.545868,16,0.48217393291964633,0.27911155453973724,64,128,1.7086627048003248e-05,48,160,224,1,128,0.0001048585189542309,33.0,317856.0,86.3,COMPLETE
88,415.57121832484984,2026-06-21 04:53:43.201723,2026-06-21 04:54:22.403242,0 days 00:00:39.201519,12,0.4747118655668936,0.4751102070398353,64,96,1.3774127315918342e-05,64,192,288,1,64,0.0005544977233736005,5.0,330116.0,39.0,COMPLETE
89,399.3265815720261,2026-06-21 04:54:22.435022,2026-06-21 04:55:05.825802,0 days 00:00:43.390780,16,0.42994346270248857,0.43617282189226875,32,128,1.936523349697552e-05,64,128,256,1,64,0.00017484146122893917,7.0,276960.0,43.2,COMPLETE
90,411.9175622925053,2026-06-21 04:55:05.862802,2026-06-21 04:55:44.421109,0 days 00:00:38.558307,12,0.468019262346696,0.335530484850093,32,128,3.138726272776118e-05,48,96,320,1,128,0.0004176469218404324,3.0,310724.0,38.3,COMPLETE
91,403.3408724329832,2026-06-21 04:55:44.454110,2026-06-21 04:56:21.964921,0 days 00:00:37.510811,14,0.31445838317472136,0.2812027441060473,32,64,3.053286350952591e-05,64,192,96,1,96,0.00010824425243693517,4.0,164226.0,37.3,COMPLETE
92,408.0051317079235,2026-06-21 04:56:22.325210,2026-06-21 04:57:53.052142,0 days 00:01:30.726932,16,0.49787078632406984,0.4686236274142243,64,128,6.331301666673782e-05,64,128,224,1,160,0.0008179882701069327,12.0,356864.0,90.5,COMPLETE
93,425.8579208491959,2026-06-21 04:57:53.084548,2026-06-21 04:59:02.020815,0 days 00:01:08.936267,10,0.44495207580415647,0.48427834939348363,64,64,2.1452019011114583e-05,48,192,96,1,192,0.0009672124604400041,3.0,274982.0,68.7,COMPLETE
94,392.67539870738017,2026-06-21 04:59:02.054329,2026-06-21 05:02:50.262657,0 days 00:03:48.208328,14,0.29495162533131186,0.435369348787102,64,96,1.0098380484021879e-05,32,224,96,1,192,0.0005422285859104958,54.0,296098.0,228.0,COMPLETE
95,419.36313321511705,2026-06-21 05:02:50.291662,2026-06-21 05:04:07.814923,0 days 00:01:17.523261,12,0.37877833490613105,0.5595798284073519,64,128,1.5495473104538106e-05,48,160,96,1,192,0.00022775273228701923,4.0,319076.0,77.3,COMPLETE
96,394.9124111749338,2026-06-21 05:04:07.853700,2026-06-21 05:06:24.330185,0 days 00:02:16.476485,16,0.28178466795373147,0.4377384959986768,64,96,3.959444573147275e-05,16,224,128,1,160,0.0007270238104277859,30.0,262272.0,136.2,COMPLETE
97,403.2126261353927,2026-06-21 05:06:24.363379,2026-06-21 05:07:05.972973,0 days 00:00:41.609594,14,0.24947660930994756,0.4909483151580376,64,96,1.1284370318566018e-05,32,224,160,1,96,0.0002586051031635829,7.0,229090.0,41.4,COMPLETE
98,416.1001794940733,2026-06-21 05:07:06.000975,2026-06-21 05:08:34.424096,0 days 00:01:28.423121,10,0.26674090668238815,0.40480956955148034,32,96,1.6686375450824235e-05,32,224,128,1,192,0.0003732468157485524,9.0,311942.0,88.2,COMPLETE
99,408.7568042247126,2026-06-21 05:08:34.456607,2026-06-21 05:10:14.675049,0 days 00:01:40.218442,16,0.2093586410037302,0.4459194648730818,32,64,3.101753976332649e-05,32,256,160,1,256,0.0002293113154947136,12.0,449280.0,100.0,COMPLETE
100,412.9060123078859,2026-06-21 05:10:14.709300,2026-06-21 05:14:30.593227,0 days 00:04:15.883927,14,0.18525115731126213,0.4852018426074805,96,128,1.165849934944793e-05,16,256,160,1,224,0.0009028619486246416,76.0,448866.0,255.7,COMPLETE
101,451.58481346254325,2026-06-21 05:14:30.623612,2026-06-21 05:15:32.179915,0 days 00:01:01.556303,14,0.3340059056046406,0.38297004725594386,32,96,0.00044484951666443734,32,224,224,1,160,0.0008115825736167896,2.0,342114.0,61.3,COMPLETE
102,391.97345254493956,2026-06-21 05:15:32.213313,2026-06-21 05:19:30.337935,0 days 00:03:58.124622,16,0.31126782693619903,0.47387960521338796,64,128,1.1052240582808256e-05,32,224,96,1,224,0.0003413303078504186,55.0,382944.0,237.9,COMPLETE
